"","lon","lat"
"1",-116.2023137,43.6150186
"2",-102.552784,23.634501
"3",-102.552784,23.634501
"4",-101.1949825,19.7059504
"5",-93.0899578,44.9537029
"6",-93.0899578,44.9537029
"7",-86.158068,39.768403
"8",-86.158068,39.768403
"9",-99.2275099,19.3173009
"10",-89.424092,43.0023146
"11",-89.424092,43.0023146
"12",-99.1260866,19.6860054
"13",NA,NA
"14",-104.0072348,19.1222634
"15",NA,NA
"16",-73.8648268,40.8447819
"17",-99.2231387,19.6528089
"18",-89.3985283,18.806656
"19",-74.0059728,40.7127753
"20",-84.2700179,37.8393332
"21",-84.2700179,37.8393332
"22",-84.2700179,37.8393332
"23",-84.2700179,37.8393332
"24",-84.2700179,37.8393332
"25",-84.2700179,37.8393332
"26",-84.2700179,37.8393332
"27",NA,NA
"28",-107.3940117,24.8090649
"29",-77.0368707,38.9071923
"30",NA,NA
"31",-102.552784,23.634501
"32",-102.552784,23.634501
"33",-102.552784,23.634501
"34",-102.552784,23.634501
"35",-102.552784,23.634501
"36",-102.552784,23.634501
"37",-96.8236116,33.1506744
"38",NA,NA
"39",-99.133208,19.4326077
"40",-99.133208,19.4326077
"41",-99.133208,19.4326077
"42",-5.93012,54.597285
"43",-5.93012,54.597285
"44",-5.93012,54.597285
"45",-106.0691004,28.6329957
"46",-84.2135309,33.9412127
"47",-84.2135309,33.9412127
"48",-84.2135309,33.9412127
"49",-84.2135309,33.9412127
"50",-84.2135309,33.9412127
"51",-84.2135309,33.9412127
"52",-83.8888647,43.5944677
"53",-99.133208,19.4326077
"54",-99.133208,19.4326077
"55",-99.133208,19.4326077
"56",-99.133208,19.4326077
"57",-99.133208,19.4326077
"58",-99.133208,19.4326077
"59",-99.133208,19.4326077
"60",-99.133208,19.4326077
"61",-80.2481666,43.5448048
"62",-122.1865055,47.1770457
"63",-115.1398296,36.1699412
"64",-115.1398296,36.1699412
"65",-115.1398296,36.1699412
"66",-95.3698028,29.7604267
"67",-74.4056612,40.0583238
"68",NA,NA
"69",-80.2481666,43.5448048
"70",-80.2481666,43.5448048
"71",-102.552784,23.634501
"72",-77.2828772,45.8982631
"73",-77.2828772,45.8982631
"74",-77.2828772,45.8982631
"75",-77.2828772,45.8982631
"76",-77.2828772,45.8982631
"77",-77.2828772,45.8982631
"78",-77.2828772,45.8982631
"79",-77.2828772,45.8982631
"80",-77.2828772,45.8982631
"81",-118.4911912,34.0194543
"82",-1.1581086,52.9547832
"83",-96.4981467,41.4333909
"84",NA,NA
"85",-117.1610838,32.715738
"86",NA,NA
"87",-90.0489801,35.1495343
"88",NA,NA
"89",-117.2712717,32.8328112
"90",-117.2712717,32.8328112
"91",-117.2712717,32.8328112
"92",-91.8318334,37.9642529
"93",-99.6556653,19.2826098
"94",-86.158068,39.768403
"95",-100.3161126,25.6866142
"96",4.9035614,52.3679843
"97",4.9035614,52.3679843
"98",-101.7068294,27.058676
"99",-117.1610838,32.715738
"100",-106.346771,56.130366
"101",-91.475695,43.2694208
"102",-99.133208,19.4326077
"103",-101.8551665,33.5778631
"104",-101.8551665,33.5778631
"105",-82.9987942,39.9611755
"106",NA,NA
"107",-0.1277583,51.5073509
"108",NA,NA
"109",-91.5301683,41.6611277
"110",-102.2915677,21.8852562
"111",-102.2915677,21.8852562
"112",0.121817,52.205337
"113",-87.2169149,30.421309
"114",-87.2169149,30.421309
"115",-82.9987942,39.9611755
"116",-86.158068,39.768403
"117",-86.1349019,40.2671941
"118",-95.3698028,29.7604267
"119",-95.3698028,29.7604267
"120",-122.3320708,47.6062095
"121",-98.3690922,20.0904802
"122",NA,NA
"123",-117.1610838,32.715738
"124",22.937506,-30.559482
"125",-95.712891,37.09024
"126",-99.133208,19.4326077
"127",-82.9000751,32.1656221
"128",-76.8961413,40.2771338
"129",NA,NA
"130",NA,NA
"131",-74.0059728,40.7127753
"132",-74.0059728,40.7127753
"133",-74.0059728,40.7127753
"134",-74.0059728,40.7127753
"135",-90.1570536,38.6825502
"136",-102.2915677,21.8852562
"137",-102.2915677,21.8852562
"138",-120.5542012,43.8041334
"139",-102.552784,23.634501
"140",NA,NA
"141",-98.7591311,20.1010608
"142",-98.7591311,20.1010608
"143",-98.7591311,20.1010608
"144",-85.323214,51.253775
"145",-98.7623874,20.0910963
"146",-98.7623874,20.0910963
"147",-98.7623874,20.0910963
"148",-98.7623874,20.0910963
"149",-116.977248,33.9294606
"150",-102.552784,23.634501
"151",-102.552784,23.634501
"152",-80.0942087,26.9342246
"153",-80.0942087,26.9342246
"154",-89.5925857,20.9673702
"155",-88.9906312,40.5142026
"156",-77.0947092,38.984652
"157",-77.0947092,38.984652
"158",-77.0947092,38.984652
"159",-78.898619,35.9940329
"160",-0.1277583,51.5073509
"161",-0.1277583,51.5073509
"162",-110.9559192,29.0729673
"163",-78.6568942,37.4315734
"164",-117.4015208,47.6664473
"165",-72.6655757,41.6572525
"166",-82.5436722,27.763383
"167",-82.5436722,27.763383
"168",NA,NA
"169",-82.975192,41.3042201
"170",-82.975192,41.3042201
"171",-92.4801989,44.0121221
"172",-74.0059728,40.7127753
"173",-71.0588801,42.3600825
"174",-95.712891,37.09024
"175",-102.552784,23.634501
"176",-90.1994042,38.6270025
"177",NA,NA
"178",-122.0575434,37.387474
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
"205",NA,NA
"206",NA,NA
"207",NA,NA
"208",NA,NA
"209",NA,NA
"210",NA,NA
"211",NA,NA
"212",NA,NA
"213",NA,NA
"214",NA,NA
"215",NA,NA
"216",NA,NA
"217",NA,NA
"218",NA,NA
"219",NA,NA
"220",NA,NA
"221",NA,NA
